Name,RollNo,Dept,CGPA,Year,Email,ABC ID
Aarav Chawla,CSE26131,CSE ICBT,8.29,2026,aaravchawla@gmail.com,ABC-261-000-131
Ananya Bose,CSE26132,CSE ICBT,8.33,2026,ananyabose@gmail.com,ABC-261-000-132
Amit Dutta,CSE26133,ECE,8.38,2026,amitdutta@gmail.com,ABC-261-000-133
Neha Patil,CSE26134,CSE ICBT,8.42,2026,nehapatil@gmail.com,ABC-261-000-134
Rohan Patel,CSE26135,CSE ICBT,8.46,2026,rohanpatel@gmail.com,ABC-261-000-135
Jyoti Mishra,CSE26136,CSE ICBT,8.5,2026,jyotimishra@gmail.com,ABC-261-000-136
Rahul Rao,CSE26137,ECE,8.55,2026,rahulrao@gmail.com,ABC-261-000-137
Karan Reddy,CSE26138,CSE ICBT,8.59,2026,karanreddy@gmail.com,ABC-261-000-138
Sneha Pillai,CSE26139,CSE ICBT,8.63,2026,snehapillai@gmail.com,ABC-261-000-139
Siddharth Choudhury,CSE26140,CSE ICBT,8.68,2026,siddharthchoudhury@gmail.com,ABC-261-000-140
Ishaan Sharma,CSE26141,ECE,8.72,2026,ishaansharma@gmail.com,ABC-261-000-141
Diya Gupta,CSE26142,CSE ICBT,8.76,2026,diyagupta@gmail.com,ABC-261-000-142
Arjun Verma,CSE26143,CSE ICBT,8.81,2026,arjunverma@gmail.com,ABC-261-000-143
Pooja Joshi,CSE26144,CSE ICBT,8.85,2026,poojajoshi@gmail.com,ABC-261-000-144
Aditya Nair,CSE26145,ECE,8.89,2026,adityanair@gmail.com,ABC-261-000-145
Shruti Sen,CSE26146,CSE ICBT,8.94,2026,shrutisen@gmail.com,ABC-261-000-146
Kabir Kulkarni,CSE26147,CSE ICBT,8.98,2026,kabirkulkarni@gmail.com,ABC-261-000-147
Tanvi Mehta,CSE26148,CSE ICBT,9.02,2026,tanvimehta@gmail.com,ABC-261-000-148
Yash Deshmukh,CSE26149,ECE,9.06,2026,yashdeshmukh@gmail.com,ABC-261-000-149
Riya Singh,CSE26150,CSE ICBT,9.11,2026,riyasingh@gmail.com,ABC-261-000-150
Vikram Chawla,CSE26151,CSE ICBT,9.15,2026,vikramchawla@gmail.com,ABC-261-000-151
Meera Bose,CSE26152,CSE ICBT,9.19,2026,meerabose@gmail.com,ABC-261-000-152
Ravi Dutta,CSE26153,ECE,9.24,2026,ravidutta@gmail.com,ABC-261-000-153
Kriti Patil,CSE26154,CSE ICBT,9.28,2026,kritipatil@gmail.com,ABC-261-000-154
Manish Patel,CSE26155,CSE ICBT,9.32,2026,manishpatel@gmail.com,ABC-261-000-155
Kiran Mishra,CSE26156,CSE ICBT,9.37,2026,kiranmishra@gmail.com,ABC-261-000-156
Sanjay Rao,CSE26157,ECE,9.41,2026,sanjayrao@gmail.com,ABC-261-000-157
Payal Reddy,CSE26158,CSE ICBT,9.45,2026,payalreddy@gmail.com,ABC-261-000-158
Deepak Pillai,CSE26159,CSE ICBT,9.49,2026,deepakpillai@gmail.com,ABC-261-000-159
Sapna Choudhury,CSE26160,CSE ICBT,9.54,2026,sapnachoudhury@gmail.com,ABC-261-000-160
